run_id,kind,t_grok,t_participation_ratio,lead_participation_ratio,t_weight_norm,lead_weight_norm,t_fourier_conc,lead_fourier_conc,t_walsh_score,lead_walsh_score,t_walsh_score_deg1,lead_walsh_score_deg1
modular_p61_seed0,modular,3200,0,3200,3600,-400,3400.0,-200.0,,,,
modular_p61_seed1,modular,5000,4400,600,1000,4000,5200.0,-200.0,,,,
modular_p61_seed2,modular,2200,1200,1000,800,1400,2400.0,-200.0,,,,
modular_p61_seed3,modular,4400,4000,400,4600,-200,4600.0,-200.0,,,,
modular_p61_seed4,modular,1600,1200,400,800,800,2000.0,-400.0,,,,
modular_p97_seed0,modular,1400,1200,200,800,600,1800.0,-400.0,,,,
modular_p97_seed1,modular,1600,1800,-200,2600,-1000,2000.0,-400.0,,,,
modular_p97_seed2,modular,1400,1200,200,800,600,1800.0,-400.0,,,,
modular_p97_seed3,modular,1600,1400,200,1400,200,1800.0,-200.0,,,,
modular_p97_seed4,modular,1400,2200,-800,1800,-400,2000.0,-600.0,,,,
modular_p113_seed0,modular,1200,1000,200,1200,0,1800.0,-600.0,,,,
modular_p113_seed1,modular,1200,1200,0,1200,0,1800.0,-600.0,,,,
modular_p113_seed2,modular,1200,1200,0,1200,0,1800.0,-600.0,,,,
modular_p113_seed3,modular,1200,1000,200,800,400,1800.0,-600.0,,,,
modular_p113_seed4,modular,1600,1400,200,1600,0,2000.0,-400.0,,,,
parity_n40_k2_seed0,parity,200,600,-400,3000,-2800,,,800.0,-600.0,3000.0,-2800.0
parity_n40_k2_seed1,parity,200,600,-400,3000,-2800,,,800.0,-600.0,3000.0,-2800.0
parity_n40_k2_seed2,parity,200,800,-600,3000,-2800,,,800.0,-600.0,3000.0,-2800.0
parity_n40_k2_seed3,parity,200,800,-600,3000,-2800,,,1000.0,-800.0,3000.0,-2800.0
parity_n40_k2_seed4,parity,200,600,-400,3000,-2800,,,800.0,-600.0,3000.0,-2800.0
parity_n40_k3_seed0,parity,9800,8800,1000,0,9800,,,8000.0,1800.0,8600.0,1200.0
parity_n40_k3_seed1,parity,8800,9400,-600,0,8800,,,9000.0,-200.0,1800.0,7000.0
parity_n40_k3_seed2,parity,15400,10800,4600,0,15400,,,10200.0,5200.0,200.0,15200.0
parity_n40_k3_seed3,parity,11200,11800,-600,0,11200,,,8600.0,2600.0,7200.0,4000.0
parity_n40_k3_seed4,parity,7800,7800,0,0,7800,,,7400.0,400.0,7200.0,600.0
parity_n40_k4_seed0,parity,5200,6400,-1200,0,5200,,,6600.0,-1400.0,6800.0,-1600.0
parity_n40_k4_seed1,parity,4200,5400,-1200,0,4200,,,5800.0,-1600.0,5800.0,-1600.0
parity_n40_k4_seed2,parity,4600,5800,-1200,0,4600,,,5800.0,-1200.0,5200.0,-600.0
parity_n40_k4_seed3,parity,3600,4600,-1000,0,3600,,,5000.0,-1400.0,5000.0,-1400.0
parity_n40_k4_seed4,parity,4400,5600,-1200,0,4400,,,6000.0,-1600.0,4600.0,-200.0
