weight_decay,seed,t_grok,plateau_participation_ratio,tau_c,clock_ratio
0.5,0,14000.0,19.192879146999783,446.2871026284194,31.369940824071858
0.5,1,15600.0,23.531842683490954,446.2871026284194,34.9550769182515
0.5,2,9800.0,17.61418636028583,446.2871026284194,21.9589585768503
1.0,0,5800.0,15.774102210998535,223.1435513142097,25.992236682802396
1.0,1,8000.0,21.888811270395916,223.1435513142097,35.85136094179641
1.0,2,3800.0,17.062272753034318,223.1435513142097,17.029396447353292
3.0,0,8200.0,15.205673297246298,74.38118377140323,110.24293489602395
3.0,1,,28.11157360076904,,
3.0,2,2800.0,14.01467752456665,74.38118377140323,37.64392898888623
4.0,0,,23.01219024658203,,
4.0,1,,27.725155639648438,,
4.0,2,3000.0,17.23461205618722,55.785887828552426,53.77704141269461
6.0,0,,5.848676037788391,,
6.0,1,,9.551453638076783,,
6.0,2,,5.507227420806885,,
